Tender ID,Project Name,Budget,Deadline (Days),Key Requirements,Penalties,Region,Environmental Impact Score,Energy Use Reduction Goal (%),Waste Reduction Goal (%),Renewable Materials Used (%)
Tender_1,Project_1,43411206,219,Low-carbon materials,$366342 per day,Rural,7,16,26,51
Tender_2,Project_2,7971301,110,Energy-efficient design,$18529 per day,Coastal,10,37,47,47
Tender_3,Project_3,2178443,648,Waste reduction,$137439 per day,Rural,9,50,23,75
Tender_4,Project_4,18956905,295,Energy-efficient design,$468072 per day,Rural,6,40,13,32
Tender_5,Project_5,16934414,719,Low-carbon materials,$219771 per day,Coastal,9,39,60,34
Tender_6,Project_6,15479419,138,Energy-efficient design,$443622 per day,Urban,6,35,58,50
Tender_7,Project_7,9864231,474,Energy-efficient design,$377885 per day,Urban,8,47,32,73
Tender_8,Project_8,49923746,577,Energy-efficient design,$152594 per day,Coastal,5,19,23,64
Tender_9,Project_9,7378334,48,Low-carbon materials,$450611 per day,Urban,10,14,46,71
Tender_10,Project_10,45912533,35,Waste reduction,$469895 per day,Coastal,2,47,39,34
Tender_11,Project_11,37098928,434,Energy-efficient design,$481262 per day,Coastal,2,17,22,46
Tender_12,Project_12,6334366,149,Low-carbon materials,$277397 per day,Rural,1,11,59,38
Tender_13,Project_13,40127281,43,Low-carbon materials,$296672 per day,Coastal,7,31,29,74
Tender_14,Project_14,28814694,205,Low-carbon materials,$87002 per day,Rural,7,10,33,69
Tender_15,Project_15,2632899,701,Waste reduction,$72315 per day,Coastal,8,41,16,32
Tender_16,Project_16,2499657,518,Waste reduction,$194695 per day,Rural,3,16,22,43
Tender_17,Project_17,6787781,501,Energy-efficient design,$468373 per day,Coastal,7,47,53,68
Tender_18,Project_18,15172546,444,Waste reduction,$385835 per day,Rural,5,39,52,80
Tender_19,Project_19,16113608,703,Waste reduction,$308820 per day,Urban,2,12,32,34
Tender_20,Project_20,34413819,646,Waste reduction,$246857 per day,Rural,9,48,49,51
Tender_21,Project_21,40900793,528,Low-carbon materials,$271311 per day,Rural,8,32,47,27
Tender_22,Project_22,2280798,340,Waste reduction,$140426 per day,Coastal,10,41,37,31
Tender_23,Project_23,38164518,663,Low-carbon materials,$281460 per day,Coastal,4,28,28,26
Tender_24,Project_24,13843768,661,Waste reduction,$203692 per day,Coastal,10,29,19,38
Tender_25,Project_25,48551262,399,Energy-efficient design,$154936 per day,Coastal,8,32,36,45
Tender_26,Project_26,44113006,719,Waste reduction,$383450 per day,Urban,9,27,13,35
Tender_27,Project_27,47565122,434,Energy-efficient design,$219749 per day,Coastal,10,11,50,23
Tender_28,Project_28,37070403,339,Energy-efficient design,$225542 per day,Coastal,6,37,34,51
Tender_29,Project_29,28653498,119,Energy-efficient design,$89833 per day,Rural,4,47,13,23
Tender_30,Project_30,15293519,158,Waste reduction,$113591 per day,Urban,8,17,55,61
Tender_31,Project_31,30645908,168,Energy-efficient design,$76675 per day,Urban,8,29,11,75
Tender_32,Project_32,40044950,44,Low-carbon materials,$131016 per day,Coastal,1,25,49,23
Tender_33,Project_33,19169062,225,Low-carbon materials,$234336 per day,Urban,2,42,45,58
Tender_34,Project_34,936124,144,Low-carbon materials,$30153 per day,Rural,3,39,49,41
Tender_35,Project_35,11214555,46,Energy-efficient design,$209837 per day,Coastal,5,37,55,53
Tender_36,Project_36,47351341,222,Low-carbon materials,$221409 per day,Rural,10,40,39,33
Tender_37,Project_37,28861172,57,Low-carbon materials,$432994 per day,Urban,4,23,20,71
Tender_38,Project_38,23333825,244,Waste reduction,$253056 per day,Coastal,2,45,39,21
Tender_39,Project_39,19147630,522,Energy-efficient design,$326837 per day,Rural,7,29,26,36
Tender_40,Project_40,10934052,694,Low-carbon materials,$416565 per day,Rural,5,25,10,30
Tender_41,Project_41,14949461,178,Waste reduction,$337642 per day,Rural,6,17,54,69
Tender_42,Project_42,23088477,695,Energy-efficient design,$287316 per day,Rural,10,50,30,68
Tender_43,Project_43,7359215,277,Waste reduction,$223779 per day,Coastal,9,30,15,76
Tender_44,Project_44,6724068,476,Energy-efficient design,$158742 per day,Rural,3,33,26,54
Tender_45,Project_45,25996489,671,Energy-efficient design,$316869 per day,Rural,5,36,51,79
Tender_46,Project_46,6990526,581,Waste reduction,$48634 per day,Urban,4,41,54,76
Tender_47,Project_47,24590698,225,Low-carbon materials,$77815 per day,Coastal,8,37,25,45
Tender_48,Project_48,23582477,118,Energy-efficient design,$205471 per day,Urban,9,48,17,33
Tender_49,Project_49,41015368,338,Energy-efficient design,$314861 per day,Coastal,1,30,34,29
Tender_50,Project_50,18251694,504,Low-carbon materials,$172745 per day,Coastal,5,48,28,35
Tender_51,Project_51,3415909,181,Low-carbon materials,$307243 per day,Rural,8,39,15,24
Tender_52,Project_52,49471471,515,Low-carbon materials,$438131 per day,Urban,1,49,60,23
Tender_53,Project_53,31331481,462,Waste reduction,$264070 per day,Rural,5,20,14,31
Tender_54,Project_54,36485658,52,Waste reduction,$487820 per day,Urban,1,46,48,45
Tender_55,Project_55,8876941,149,Waste reduction,$458433 per day,Rural,8,34,49,42
Tender_56,Project_56,25903012,200,Low-carbon materials,$475287 per day,Rural,10,21,15,64
Tender_57,Project_57,5788191,186,Waste reduction,$359478 per day,Coastal,4,36,54,40
Tender_58,Project_58,37546819,485,Low-carbon materials,$484522 per day,Urban,7,24,22,80
Tender_59,Project_59,20174861,526,Energy-efficient design,$101320 per day,Coastal,6,20,37,51
Tender_60,Project_60,42687302,512,Energy-efficient design,$80720 per day,Rural,2,40,33,38
Tender_61,Project_61,42008157,50,Waste reduction,$402426 per day,Urban,9,23,36,50
Tender_62,Project_62,24768915,490,Waste reduction,$36475 per day,Coastal,8,20,29,36
Tender_63,Project_63,39245446,629,Waste reduction,$144517 per day,Urban,6,26,55,63
Tender_64,Project_64,13404268,278,Energy-efficient design,$107515 per day,Urban,7,24,13,38
Tender_65,Project_65,47783015,236,Low-carbon materials,$327106 per day,Rural,10,41,51,58
Tender_66,Project_66,5167767,331,Waste reduction,$284954 per day,Urban,3,12,58,32
Tender_67,Project_67,3575222,613,Low-carbon materials,$212874 per day,Rural,7,22,20,45
Tender_68,Project_68,44876630,431,Waste reduction,$106741 per day,Urban,10,50,54,45
Tender_69,Project_69,15793994,82,Energy-efficient design,$96919 per day,Urban,3,49,33,51
Tender_70,Project_70,19920497,371,Low-carbon materials,$225340 per day,Coastal,1,15,28,34
Tender_71,Project_71,5854748,38,Energy-efficient design,$305528 per day,Coastal,4,46,21,40
Tender_72,Project_72,16122331,135,Waste reduction,$334997 per day,Rural,3,12,37,80
Tender_73,Project_73,7278091,675,Energy-efficient design,$77533 per day,Urban,8,30,12,29
Tender_74,Project_74,26009839,472,Energy-efficient design,$15808 per day,Urban,4,36,12,26
Tender_75,Project_75,19154492,455,Low-carbon materials,$211238 per day,Coastal,6,35,36,45
Tender_76,Project_76,30927850,537,Low-carbon materials,$228603 per day,Urban,8,30,18,21
Tender_77,Project_77,43160060,622,Low-carbon materials,$218747 per day,Rural,2,16,44,53
Tender_78,Project_78,24983473,640,Energy-efficient design,$48100 per day,Coastal,3,26,58,35
Tender_79,Project_79,11415531,597,Waste reduction,$247872 per day,Coastal,6,14,51,39
Tender_80,Project_80,25342424,327,Low-carbon materials,$498330 per day,Urban,7,24,46,22
Tender_81,Project_81,24341813,67,Waste reduction,$308422 per day,Rural,8,29,52,30
Tender_82,Project_82,14559778,529,Energy-efficient design,$315873 per day,Urban,3,22,21,78
Tender_83,Project_83,45474694,439,Energy-efficient design,$224004 per day,Urban,2,11,20,73
Tender_84,Project_84,18416578,527,Low-carbon materials,$102757 per day,Urban,3,38,22,52
Tender_85,Project_85,47598363,555,Energy-efficient design,$109165 per day,Urban,4,35,43,57
Tender_86,Project_86,46372107,635,Energy-efficient design,$477948 per day,Coastal,1,43,26,49
Tender_87,Project_87,43988918,656,Energy-efficient design,$190749 per day,Urban,1,24,23,71
Tender_88,Project_88,5291741,529,Low-carbon materials,$207633 per day,Urban,9,19,33,37
Tender_89,Project_89,41378089,267,Waste reduction,$329958 per day,Urban,6,46,39,69
Tender_90,Project_90,43112671,92,Energy-efficient design,$319334 per day,Urban,8,42,48,20
Tender_91,Project_91,11984920,570,Low-carbon materials,$486410 per day,Coastal,9,38,49,59
Tender_92,Project_92,36345520,49,Energy-efficient design,$476452 per day,Coastal,10,34,22,33
Tender_93,Project_93,49430871,462,Energy-efficient design,$325001 per day,Urban,6,45,44,68
Tender_94,Project_94,16928983,620,Waste reduction,$354616 per day,Rural,10,15,51,73
Tender_95,Project_95,11465755,353,Energy-efficient design,$440503 per day,Rural,2,50,48,63
Tender_96,Project_96,31521757,596,Energy-efficient design,$90908 per day,Rural,6,37,30,57
Tender_97,Project_97,25964823,95,Low-carbon materials,$318274 per day,Urban,4,12,46,33
Tender_98,Project_98,18615891,304,Low-carbon materials,$489625 per day,Rural,3,32,29,37
Tender_99,Project_99,43449656,693,Energy-efficient design,$396524 per day,Coastal,5,50,33,78
Tender_100,Project_100,46681767,457,Energy-efficient design,$326251 per day,Urban,3,15,45,80
Tender_101,Project_101,37876264,514,Low-carbon materials,$424777 per day,Rural,6,47,46,59
Tender_102,Project_102,15238124,149,Waste reduction,$394835 per day,Coastal,7,16,20,64
Tender_103,Project_103,46443684,536,Low-carbon materials,$297394 per day,Rural,7,40,19,76
Tender_104,Project_104,22262245,667,Low-carbon materials,$139996 per day,Coastal,1,10,30,64
Tender_105,Project_105,4253932,691,Waste reduction,$122898 per day,Urban,1,20,14,45
Tender_106,Project_106,15871155,385,Waste reduction,$178095 per day,Coastal,10,27,51,37
Tender_107,Project_107,2654210,489,Waste reduction,$404000 per day,Urban,9,21,40,50
Tender_108,Project_108,21669695,476,Low-carbon materials,$299850 per day,Rural,1,25,27,71
Tender_109,Project_109,27421713,51,Energy-efficient design,$395248 per day,Coastal,6,37,41,70
Tender_110,Project_110,18467786,195,Low-carbon materials,$260326 per day,Rural,8,25,30,58
Tender_111,Project_111,4941842,324,Low-carbon materials,$463593 per day,Coastal,9,38,21,79
Tender_112,Project_112,14658818,226,Energy-efficient design,$219619 per day,Urban,4,26,48,32
Tender_113,Project_113,38562808,510,Energy-efficient design,$301492 per day,Urban,7,23,27,43
Tender_114,Project_114,48678411,382,Energy-efficient design,$279886 per day,Rural,10,39,49,34
Tender_115,Project_115,21617675,478,Low-carbon materials,$253265 per day,Rural,1,25,38,59
Tender_116,Project_116,14769125,267,Low-carbon materials,$382305 per day,Coastal,4,44,39,65
Tender_117,Project_117,44485744,549,Waste reduction,$269749 per day,Rural,1,12,32,71
Tender_118,Project_118,34002842,254,Low-carbon materials,$246422 per day,Rural,4,14,35,75
Tender_119,Project_119,27050407,631,Waste reduction,$330295 per day,Urban,5,23,33,41
Tender_120,Project_120,43641058,377,Low-carbon materials,$108194 per day,Coastal,2,14,30,75
Tender_121,Project_121,31293026,646,Low-carbon materials,$205123 per day,Rural,4,43,16,44
Tender_122,Project_122,10087950,702,Low-carbon materials,$490438 per day,Urban,7,26,20,30
Tender_123,Project_123,18275807,509,Energy-efficient design,$419463 per day,Urban,6,22,42,71
Tender_124,Project_124,9870432,164,Energy-efficient design,$237450 per day,Coastal,4,28,59,26
Tender_125,Project_125,17050891,330,Waste reduction,$16478 per day,Rural,3,14,42,67
Tender_126,Project_126,38172777,429,Waste reduction,$167867 per day,Urban,10,22,53,40
Tender_127,Project_127,36670153,456,Low-carbon materials,$73658 per day,Rural,9,32,49,38
Tender_128,Project_128,18132290,719,Waste reduction,$139530 per day,Coastal,6,40,52,29
Tender_129,Project_129,39730901,698,Waste reduction,$143592 per day,Urban,7,17,31,65
Tender_130,Project_130,29251707,398,Waste reduction,$285351 per day,Urban,9,37,37,71
Tender_131,Project_131,39660231,513,Waste reduction,$100527 per day,Rural,5,45,22,46
Tender_132,Project_132,27303314,195,Waste reduction,$35614 per day,Rural,10,19,44,28
Tender_133,Project_133,24793170,666,Energy-efficient design,$284337 per day,Rural,10,36,22,73
Tender_134,Project_134,15218366,242,Waste reduction,$464522 per day,Coastal,8,17,37,46
Tender_135,Project_135,9783286,319,Waste reduction,$433351 per day,Coastal,8,14,41,49
Tender_136,Project_136,34693730,118,Energy-efficient design,$141842 per day,Rural,1,16,36,74
Tender_137,Project_137,33619287,713,Low-carbon materials,$479349 per day,Rural,8,28,37,25
Tender_138,Project_138,6600827,524,Energy-efficient design,$328771 per day,Coastal,1,39,32,53
Tender_139,Project_139,3661926,162,Low-carbon materials,$436297 per day,Rural,7,34,59,54
Tender_140,Project_140,7858428,207,Energy-efficient design,$139509 per day,Rural,1,20,39,58
Tender_141,Project_141,10757007,234,Energy-efficient design,$60145 per day,Urban,1,11,13,72
Tender_142,Project_142,42607191,190,Low-carbon materials,$181636 per day,Urban,8,38,23,61
Tender_143,Project_143,11236210,650,Waste reduction,$114932 per day,Urban,5,23,15,77
Tender_144,Project_144,46166321,533,Energy-efficient design,$326209 per day,Coastal,7,26,57,30
Tender_145,Project_145,28830675,133,Energy-efficient design,$286761 per day,Coastal,2,39,10,79
Tender_146,Project_146,40524332,455,Waste reduction,$401137 per day,Coastal,5,44,15,46
Tender_147,Project_147,4763272,535,Low-carbon materials,$109404 per day,Urban,4,40,20,67
Tender_148,Project_148,26321297,340,Low-carbon materials,$410784 per day,Rural,4,24,18,50
Tender_149,Project_149,26110036,270,Low-carbon materials,$324305 per day,Urban,8,32,50,23
Tender_150,Project_150,40489395,244,Low-carbon materials,$54374 per day,Rural,1,29,14,25
Tender_151,Project_151,31910296,600,Waste reduction,$91137 per day,Rural,1,17,25,33
Tender_152,Project_152,36008262,78,Low-carbon materials,$76088 per day,Rural,5,27,24,47
Tender_153,Project_153,17372115,48,Low-carbon materials,$221000 per day,Urban,10,30,51,24
Tender_154,Project_154,37626361,397,Energy-efficient design,$15160 per day,Coastal,2,32,58,57
Tender_155,Project_155,1270478,297,Low-carbon materials,$25377 per day,Urban,8,36,54,25
Tender_156,Project_156,46153046,395,Energy-efficient design,$12316 per day,Rural,5,29,43,46
Tender_157,Project_157,48866822,192,Energy-efficient design,$480184 per day,Urban,5,38,41,44
Tender_158,Project_158,8187437,208,Energy-efficient design,$44864 per day,Rural,4,22,32,48
Tender_159,Project_159,46248808,545,Waste reduction,$161830 per day,Rural,7,14,60,34
Tender_160,Project_160,36535468,62,Low-carbon materials,$165970 per day,Rural,9,16,23,31
Tender_161,Project_161,18406335,95,Energy-efficient design,$36041 per day,Urban,8,35,51,70
Tender_162,Project_162,43514218,375,Low-carbon materials,$352030 per day,Rural,2,42,59,29
Tender_163,Project_163,23328789,470,Waste reduction,$355099 per day,Rural,7,44,53,27
Tender_164,Project_164,7986139,146,Waste reduction,$376160 per day,Urban,4,30,60,64
Tender_165,Project_165,20196460,662,Low-carbon materials,$254533 per day,Rural,9,47,26,67
Tender_166,Project_166,29676602,262,Low-carbon materials,$497559 per day,Coastal,8,21,21,61
Tender_167,Project_167,11113787,153,Energy-efficient design,$219136 per day,Rural,7,35,14,49
Tender_168,Project_168,30948882,605,Low-carbon materials,$86962 per day,Coastal,3,35,29,61
Tender_169,Project_169,717789,259,Low-carbon materials,$450441 per day,Coastal,2,24,28,69
Tender_170,Project_170,48958777,528,Waste reduction,$333454 per day,Coastal,6,40,57,78
Tender_171,Project_171,48796952,294,Waste reduction,$389782 per day,Rural,8,50,42,48
Tender_172,Project_172,18175739,378,Waste reduction,$401639 per day,Coastal,8,11,23,42
Tender_173,Project_173,34093765,393,Low-carbon materials,$45304 per day,Rural,5,10,60,57
Tender_174,Project_174,12489124,77,Waste reduction,$425450 per day,Urban,1,44,31,37
Tender_175,Project_175,34569940,600,Low-carbon materials,$169886 per day,Coastal,6,43,28,71
Tender_176,Project_176,7641109,303,Energy-efficient design,$398597 per day,Urban,5,48,53,24
Tender_177,Project_177,42463185,184,Low-carbon materials,$351868 per day,Urban,6,27,59,39
Tender_178,Project_178,20528290,557,Waste reduction,$356729 per day,Urban,9,24,58,36
Tender_179,Project_179,43379174,648,Waste reduction,$128923 per day,Coastal,7,45,31,51
Tender_180,Project_180,34568679,715,Low-carbon materials,$457168 per day,Coastal,7,22,58,50
Tender_181,Project_181,41367299,136,Low-carbon materials,$27697 per day,Urban,2,12,60,67
Tender_182,Project_182,13848698,81,Waste reduction,$466505 per day,Urban,9,17,39,31
Tender_183,Project_183,10756869,478,Waste reduction,$159025 per day,Urban,3,29,28,21
Tender_184,Project_184,25592933,498,Waste reduction,$393301 per day,Urban,5,45,46,69
Tender_185,Project_185,11341372,143,Low-carbon materials,$305710 per day,Urban,9,33,42,37
Tender_186,Project_186,36697113,138,Energy-efficient design,$47076 per day,Rural,8,40,43,41
Tender_187,Project_187,36091432,655,Low-carbon materials,$124151 per day,Urban,5,42,55,34
Tender_188,Project_188,538379,654,Waste reduction,$167558 per day,Urban,2,16,50,77
Tender_189,Project_189,40694490,134,Waste reduction,$71975 per day,Coastal,5,35,24,34
Tender_190,Project_190,22253744,605,Energy-efficient design,$18746 per day,Coastal,3,33,49,48
Tender_191,Project_191,33289774,72,Waste reduction,$117020 per day,Rural,8,37,37,66
Tender_192,Project_192,1807062,549,Waste reduction,$280839 per day,Coastal,9,10,43,70
Tender_193,Project_193,8007315,137,Low-carbon materials,$435474 per day,Rural,6,43,22,44
Tender_194,Project_194,24859226,201,Energy-efficient design,$311419 per day,Rural,4,43,45,57
Tender_195,Project_195,21136923,675,Waste reduction,$269892 per day,Urban,2,13,54,70
Tender_196,Project_196,16569372,150,Low-carbon materials,$178504 per day,Coastal,5,26,18,80
Tender_197,Project_197,4387292,240,Low-carbon materials,$89852 per day,Coastal,2,14,33,49
Tender_198,Project_198,16664618,400,Energy-efficient design,$482453 per day,Coastal,10,42,19,58
Tender_199,Project_199,38574679,190,Low-carbon materials,$343220 per day,Urban,9,49,33,26
Tender_200,Project_200,5785296,329,Waste reduction,$452298 per day,Coastal,9,12,28,64
Tender_201,Project_201,6248105,482,Waste reduction,$294984 per day,Rural,8,18,23,47
Tender_202,Project_202,49617487,548,Energy-efficient design,$256455 per day,Coastal,3,28,12,28
Tender_203,Project_203,33114267,540,Low-carbon materials,$79413 per day,Coastal,7,28,49,49
Tender_204,Project_204,5144773,131,Waste reduction,$27391 per day,Rural,4,35,22,45
Tender_205,Project_205,36249305,187,Energy-efficient design,$320083 per day,Urban,5,21,31,29
Tender_206,Project_206,8939645,692,Energy-efficient design,$331334 per day,Coastal,10,45,54,70
Tender_207,Project_207,9116205,402,Low-carbon materials,$293192 per day,Rural,3,43,25,72
Tender_208,Project_208,44775128,372,Energy-efficient design,$237949 per day,Urban,2,20,58,37
